id,en,suggestion,reviewed,source,reviewer,notes
lithologyValueCode-I,igneous rock,roca ígnea,roca ígnea,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-IA,acid igneous,ígnea ácida,ígnea ácida,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-IA1,diorite,diorita,diorita,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-IA2,grano-diorite,granodiorita,granodiorita,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-IA3,quartz-diorite,cuarzodiorita,cuarzodiorita,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-IA4,rhyolite,riolita,riolita,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-IB,basic igneous,ígnea básica,ígnea básica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-IB1,gabbro,gabro,gabro,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-IB2,basalt,basalto,basalto,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-IB3,dolerite,dolerita,dolerita,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-II,intermediate igneous,ígnea intermedia,ígnea intermedia,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-II1,"andesite, trachyte, phonolite","andesita, traquita, fonolita","andesita, traquita, fonolita",auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-II2,diorite-syenite,diorita-sienita,diorita-sienita,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
lithologyValueCode-IP,pyroclastic,piroclástico,piroclástico,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
