id,en,suggestion,reviewed,source,reviewer,notes
cementationDegreeValueCode-C,Cemented,cementado,cementado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationDegreeValueCode-I,Indurated,endurecido,endurecido,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationDegreeValueCode-M,Moderately cemented,moderadamente cementado,moderadamente cementado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationDegreeValueCode-N,Non-cemented and non-compacted,no cementado y no compactado,no cementado y no compactado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationDegreeValueCode-W,Weakly cemented,débilmente cementado,débilmente cementado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationDegreeValueCode-Y,Compacted but non-cemented,compactado pero no cementado,compactado pero no cementado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-C,Clay,arcilla,arcilla,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-CS,Clay–sesquioxides,arcilla–sesquióxidos,arcilla–sesquióxidos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-F,Iron,hierro,hierro,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-FM,Iron–manganese (sesquioxides),hierro–manganeso (sesquióxidos),hierro–manganeso (sesquióxidos),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-FO,Iron–organic matter,hierro–materia orgánica,hierro–materia orgánica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-GY,Gypsum,yeso,yeso,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-I,Ice,hielo,hielo,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-K,Carbonates,carbonatos,carbonatos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-KQ,Carbonates–silica,carbonatos–sílice,carbonatos–sílice,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-M,Mechanical,mecánica,mecánica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-NK,Not known,desconocida,desconocida,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-P,Ploughing,arado,arado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-Q,Silica,sílice,sílice,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
