id,en,suggestion,reviewed,source,reviewer,notes
cementationDegreeValueCode-C,Cemented,cimentado,cimentado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationDegreeValueCode-I,Indurated,endurecido,endurecido,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationDegreeValueCode-M,Moderately cemented,moderadamente cimentado,moderadamente cimentado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationDegreeValueCode-N,Non-cemented and non-compacted,não cimentado e não compactado,não cimentado e não compactado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationDegreeValueCode-W,Weakly cemented,fracamente cimentado,fracamente cimentado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationDegreeValueCode-Y,Compacted but non-cemented,compactado mas não cimentado,compactado mas não cimentado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-C,Clay,argila,argila,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-CS,Clay–sesquioxides,argila–sesquióxidos,argila–sesquióxidos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-F,Iron,ferro,ferro,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-FM,Iron–manganese (sesquioxides),ferro–manganês (sesquióxidos),ferro–manganês (sesquióxidos),auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-FO,Iron–organic matter,ferro–matéria orgânica,ferro–matéria orgânica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-GY,Gypsum,gipsita,gipsita,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-I,Ice,gelo,gelo,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-K,Carbonates,carbonatos,carbonatos,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-KQ,Carbonates–silica,carbonatos–sílica,carbonatos–sílica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-M,Mechanical,mecânica,mecânica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-NK,Not known,desconhecida,desconhecida,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-P,Ploughing,aração,aração,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationNatureValueCode-Q,Silica,sílica,sílica,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationFabricValueCode-D,Nodular,nodular,nodular,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationFabricValueCode-Pi,Pisolithic,pisolítico,pisolítico,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationFabricValueCode-Pl,Platy,placoso,placoso,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationFabricValueCode-V,Vesicular,vesicular,vesicular,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationContinuityValueCode-B,Broken,quebrada,quebrada,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationContinuityValueCode-C,Continuous,contínua,contínua,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
cementationContinuityValueCode-D,Discontinuous,descontínua,descontínua,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
weatheringValueCode-F,Fresh or slightly weathered,fresco ou levemente intemperizado,fresco ou levemente intemperizado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
weatheringValueCode-S,Strongly weathered,fortemente intemperizado,fortemente intemperizado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
weatheringValueCode-W,Weathered,intemperizado,intemperizado,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
porosityClassValueCode-1,Very low,muito baixa,muito baixa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
porosityClassValueCode-2,Low,baixa,baixa,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
porosityClassValueCode-3,Medium,média,média,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
porosityClassValueCode-4,High,alta,alta,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
porosityClassValueCode-5,Very high,muito alta,muito alta,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
structureGradeValueCode-MO,Moderate,moderada,moderada,auto:cognate-vetted,claude-auto,CGNT-derived from CPRM/IGME terminology
